Text,Sentiment
ท่านอาจารย์ สอนได้ดีเยี่ยม มีความรู้ความสามารถที่จะสอนให้นักศึกษาเข้าใจในเนื้อหาได้เป็นอย่างดี ท่านอาจารย์ เป็นอาจารย์ผู้อาวุโสเเละมีความรู้เเละประสบการณ์มากเป็นอย่างยิ่ง สอนได้ลึกซึ้งในเนื้อหาอย่างดีเยี่ยม ,Positive
อยากให้อาจารย์ชี้แจงรายละเอียดของงานหรืองานที่นำมาเก็บคะเเนนให้นักศึกษาได้ทราบอย่างชัดเจนในชั้นเรียน เพื่อให้นักศึกษาทุกคนมีสิทธิที่จะรับรู้ข้อมูลได้เท่าเทียมกัน,Positive
  ขอบคุณอาจารย์ที่ถ่ายทอดความรู้ในรายวิชาให้ผมได้เรียนรู้ว่าการเลือกใช้เครื่องมือการวิเคราะห์การทำงานและความสัมพันธ์กับความปลอดภัยครับ,Positive
  ขอบคุณอาจารย์ที่ได้ชี้แนะให้เห็นถึงกระบวนการขั้นตอนพร้อมทั้งคอยชี้แนะนำวิธีการแก้ปัญหาและยังเชิญวิทยากรผู้ทรงคุณวุฒิที่เกี่ยวกับวิชานี้มาเล่าการทำงานทำให้เห็นภาพของวิชานี้มากขึ้น ขอบคุณครับ,Positive
  ขอให้มีความสุขค่ะ,Positive
 ขอบคุณอาจารย์ ทั้ง 2 ท่าน ที่ช่วยชี้แนะนำการเขียนโครงงานวิทยานิพนธ์ การคิดวิเคราะห์ อย่างเป็น ขั้นตอน การเลือกใช้เครื่องมือในการแสดงผล การอธิบายหลักการสถิติ และให้ผมได้เรียนรู้ว่าขั้นตอนการวิเคราะห์การเขียนโครงงาน ควรต้องทำงานยังไงและมีความสัมพันธ์กับหัวข้อโครงงานครับ ,Positive
 ขอบคุณอาจารย์ที่ชี้แนะขั้นตอนต่างๆในการ Config Network ให้เห็นภาพในชีวิตการทำงานของสาขานี้สอนขั้นตอนการใช้เครื่องมือ วิธีการทำงาน แก้ปัญหา ในการ Config ให้เห็นภาพที่ชัดเจนมากขี้น พร้อมทั้ง สอนเทคโนโลยีใหม่ๆ เข้ามาเสริมในการเรียนรู้ครับ ,Positive
 ขอบคุณอาจารย์ที่ชี้แนะโลกของสายงาน Audit ซึ่งทำให้ขั้นตอนต่างๆและทำให้เห็นภาพในชีวิตการทำงานของสาขานี้โดยสอนให้รู้จักการมองข้อกำหนดต่างในเอกสาร การอ่านข้อกำหนดและการนำมาใช้งานเมื่อต้องการเขียนเอกสารที่เกี่ยวกับ Audit ,Positive
 ขอบคุณนะครับอาจารย์สำหรับการสอนที่ทำให้ผมกล้าเเสดงออกมาขึ้น ขอบคุณมากๆครับ,Positive
 ขอบคุณอาจารย์ที่พยายามชี้แนะขั้นตอนต่างๆให้เห็นภาพในชีวิตการทำงานของสาขานี้โดยสอนให้รู้จักการมองภาพของโลก security ครับ,Positive
